"Word_Problem_ID" "stemsearchedterm" "Lemma" "Category" "Word_Problem"
"" "28" "boi" "6" "masculine" "Ex. (2). The number of boys in a school increases in a certain period from 125 to 180 ,  what is the increase per cent. ?"
"" "64" "boi" "7" "masculine" "(7) Divide 100 apples between three boys ,  so that the first may receive 7 as often as the second receives 8 ,  and the third may receive 5 as often as the second receives 4."
"" "70" "boi" "12" "masculine" "(13) Divide £2. 12s. between 5 men ,  7 women ,  and 14 boys ,  so that each woman may have 3/7 of each man's share ,  and each boy 2/5 of each woman's share."
"" "70" "boi" "27" "masculine" "(13) Divide £2. 12s. between 5 men ,  7 women ,  and 14 boys ,  so that each woman may have 3/7 of each man's share ,  and each boy 2/5 of each woman's share."
"" "162" "boi" "3" "masculine" "(105) A boy receiving 6d. a week has 3d. stopped every third week : if there are 39 weeks in the school-year how much does he realise in 4 years ?"
"" "251" "boi" "9" "masculine" "(276) How many hours a day must 42 boys work ,  to do in 45 days what 27 men can do in 28 days of 10 hours long  ;  the work of a boy being half that of a man ?"
"" "251" "boi" "32" "masculine" "(276) How many hours a day must 42 boys work ,  to do in 45 days what 27 men can do in 28 days of 10 hours long  ;  the work of a boy being half that of a man ?"
"" "320" "boi" "7" "masculine" "(400) If 6 men and 2 boys can reap 13 acres in 2 days ,  and 7 men and 5 boys can reap 33 acres in 4 days ,  how long will it take 2 men and 2 boys to reap 10 acres?"
"" "320" "boi" "20" "masculine" "(400) If 6 men and 2 boys can reap 13 acres in 2 days ,  and 7 men and 5 boys can reap 33 acres in 4 days ,  how long will it take 2 men and 2 boys to reap 10 acres?"
"" "320" "boi" "37" "masculine" "(400) If 6 men and 2 boys can reap 13 acres in 2 days ,  and 7 men and 5 boys can reap 33 acres in 4 days ,  how long will it take 2 men and 2 boys to reap 10 acres?"
"" "355" "boi" "9" "masculine" "(448) In a dormitory ½ 1/3  of the boys are in the upper school ,  2/3  of the remainder in the middle ,  and the rest ,  8 in number ,  in the lower  ;  find the number in the dormitory.  "
"" "374" "boi" "8" "masculine" "(478) If 3 men ,  4 women ,  5 boys ,  or 6 girls ,  can perform a piece of work in 60 days ,  how long will it take 1 man ,  2 women ,  3 boys ,  and 4 girls ,  all working together ?"
"" "374" "boi" "31" "masculine" "(478) If 3 men ,  4 women ,  5 boys ,  or 6 girls ,  can perform a piece of work in 60 days ,  how long will it take 1 man ,  2 women ,  3 boys ,  and 4 girls ,  all working together ?"
"" "429" "boi" "17" "masculine" "(549) The masters of a school are .041^ of its whole number ,  but after 40 new boys have been added the masters became .0375 of the whole. How many boys and masters were there before the new boys came ?"
"" "429" "boi" "30" "masculine" "(549) The masters of a school are .041^ of its whole number ,  but after 40 new boys have been added the masters became .0375 of the whole. How many boys and masters were there before the new boys came ?"
"" "429" "boi" "38" "masculine" "(549) The masters of a school are .041^ of its whole number ,  but after 40 new boys have been added the masters became .0375 of the whole. How many boys and masters were there before the new boys came ?"
"" "455" "boi" "7" "masculine" "(579) If 12 men or 18 boys can do \ of a piece of work in 6 1/2 hours ,  in what time will 11 men and 9 boys do the rest ?"
"" "455" "boi" "28" "masculine" "(579) If 12 men or 18 boys can do \ of a piece of work in 6 1/2 hours ,  in what time will 11 men and 9 boys do the rest ?"
"" "483" "boi" "13" "masculine" "(614) Divide £4089. gs. id. among 1 man ,  8 women ,  and 4 boys ,  so that the shares of the man ,  each woman and each boy may be in the proportion of 10 ,  8 ,  and 6."
"" "483" "boi" "25" "masculine" "(614) Divide £4089. gs. id. among 1 man ,  8 women ,  and 4 boys ,  so that the shares of the man ,  each woman and each boy may be in the proportion of 10 ,  8 ,  and 6."
"" "514" "boi" "4" "masculine" "(647) If two boys and one man can do a piece of work in 4 hours ,  and two men and one. boy can do the same in 3 hours ,  find in what times a man ,  a boy ,  and a man and a boy together ,  respectively ,  could do the same."
"" "514" "boi" "22" "masculine" "(647) If two boys and one man can do a piece of work in 4 hours ,  and two men and one. boy can do the same in 3 hours ,  find in what times a man ,  a boy ,  and a man and a boy together ,  respectively ,  could do the same."
"" "514" "boi" "37" "masculine" "(647) If two boys and one man can do a piece of work in 4 hours ,  and two men and one. boy can do the same in 3 hours ,  find in what times a man ,  a boy ,  and a man and a boy together ,  respectively ,  could do the same."
"" "514" "boi" "43" "masculine" "(647) If two boys and one man can do a piece of work in 4 hours ,  and two men and one. boy can do the same in 3 hours ,  find in what times a man ,  a boy ,  and a man and a boy together ,  respectively ,  could do the same."
"" "569" "boi" "6" "masculine" "(709) A man and a boy are to work on alternate days at a piece of work ,  which would have occupied the boy alone 13 days. If the boy take the first day ,  the work will be finished half a day later than if the man commences. Find how long they would take to do it working together."
"" "569" "boi" "23" "masculine" "(709) A man and a boy are to work on alternate days at a piece of work ,  which would have occupied the boy alone 13 days. If the boy take the first day ,  the work will be finished half a day later than if the man commences. Find how long they would take to do it working together."
"" "569" "boi" "29" "masculine" "(709) A man and a boy are to work on alternate days at a piece of work ,  which would have occupied the boy alone 13 days. If the boy take the first day ,  the work will be finished half a day later than if the man commences. Find how long they would take to do it working together."
"" "584" "boi" "7" "masculine" "(725) If 5 men and 3 boys can reap 23 acres in 4 days ,  and if 3 men and 2 boys can reap 7 acres in 2 days ,  how many boys must assist 7 men ,  in order that they may reap 45 acres in 6 days ?"
"" "584" "boi" "21" "masculine" "(725) If 5 men and 3 boys can reap 23 acres in 4 days ,  and if 3 men and 2 boys can reap 7 acres in 2 days ,  how many boys must assist 7 men ,  in order that they may reap 45 acres in 6 days ?"
"" "584" "boi" "31" "masculine" "(725) If 5 men and 3 boys can reap 23 acres in 4 days ,  and if 3 men and 2 boys can reap 7 acres in 2 days ,  how many boys must assist 7 men ,  in order that they may reap 45 acres in 6 days ?"
"" "630" "boi" "11" "masculine" "(772) If 5 men can do as much as 8 boys in a day ,  how many days will it take 32 boys to finish a piece of work of which 15 men did a quarter in 16 days ?"
"" "630" "boi" "22" "masculine" "(772) If 5 men can do as much as 8 boys in a day ,  how many days will it take 32 boys to finish a piece of work of which 15 men did a quarter in 16 days ?"
"" "671" "boi" "25" "masculine" "(815) A foot-pound is the work done in lifting 1 lb. one foot high  ;  what work (in foot-pounds) is done by a boy weighing 8 stone ,  who jumps 50 times over a bar 3 ft. 9 in. high ?"
"" "674" "boi" "18" "masculine" "(818) Five men do .6006 of a piece of work in 2.12 hours : how long will 6 boys take to finish it ,  it being known that 3 men and 7 boys have done a similar piece of work in 3 hours ?"
"" "674" "boi" "31" "masculine" "(818) Five men do .6006 of a piece of work in 2.12 hours : how long will 6 boys take to finish it ,  it being known that 3 men and 7 boys have done a similar piece of work in 3 hours ?"
"" "684" "boi" "18" "masculine" "(829) In rifle-shooting a bull's-eye counts 4 ,  a centre 3 ,  and an outer 2. Eleven boys fire five shots each at a target ,  6nd score 113  ;  8 misses are made and 3 bull's-eyes ;  find the number of centres and outers."
"" "688" "boi" "7" "masculine" "(833) If 5 men with 7 boys can earn £7. 13J. in six days ,  and 2 men with 3 boys can earn £2. 2s. in four days ,  in what time will 6 men with 12 boys earn £60?"
"" "688" "boi" "20" "masculine" "(833) If 5 men with 7 boys can earn £7. 13J. in six days ,  and 2 men with 3 boys can earn £2. 2s. in four days ,  in what time will 6 men with 12 boys earn £60?"
"" "688" "boi" "36" "masculine" "(833) If 5 men with 7 boys can earn £7. 13J. in six days ,  and 2 men with 3 boys can earn £2. 2s. in four days ,  in what time will 6 men with 12 boys earn £60?"
"" "712" "boi" "42" "masculine" "(857) Estimate the cost of 9 quarts of strawberries at 4J. 8d. a gallon ,  a pint and a half of cream at 2od. a quart ,  4 lb. of sugar at 6\d. a lb. ,  with sixpenny-worth of ice : if 5 boys had to pay for this ,  and 2 of them paid twice as much as each of the other 3 ,  what change out of a half. sovereign ought the 2 together to receive ?"
"" "750" "boi" "7" "masculine" "(898) If 8 men and 5 boys can reap 29 acres in 3 days ,  and 6 men and 7 boys can reap 50 acres in 6 days ,  how long will it take 3 men and 6 boys to reap 1 5 acres ?"
"" "750" "boi" "20" "masculine" "(898) If 8 men and 5 boys can reap 29 acres in 3 days ,  and 6 men and 7 boys can reap 50 acres in 6 days ,  how long will it take 3 men and 6 boys to reap 1 5 acres ?"
"" "750" "boi" "37" "masculine" "(898) If 8 men and 5 boys can reap 29 acres in 3 days ,  and 6 men and 7 boys can reap 50 acres in 6 days ,  how long will it take 3 men and 6 boys to reap 1 5 acres ?"
"" "755" "boi" "3" "masculine" "(904) Two boys ,  A and B ,  come into school punctually by their own watches ,  which are quite right at 9 o'clock on Monday morning. A's watch gains two minutes ,  and B's watch loses a minute and a half every day : find how much later B will be than A at Friday afternoon school ,  2 p.m."
"" "764" "boi" "7" "masculine" "(914) A squad of 1 1 boys fired 10 shots each at a target ,  and scored 286  ;  20 bull's-eyes were made and 1 1 misses  ;  how many centres and outers were there ? (N.B. A bull's-eye scores 4 ,  a centre 3 ,  and an outer 2.)"
"" "784" "boi" "28" "masculine" "(936) A ditch is being dug at the rate of 81 ft. per day by 54 men : after 13 days' work 8 of them are replaced by boys ,  and the work goes on for 11 days more ,  at the end of which the whole length dug is 1889 feet. How much work per day do the boys do ?"
"" "784" "boi" "57" "masculine" "(936) A ditch is being dug at the rate of 81 ft. per day by 54 men : after 13 days' work 8 of them are replaced by boys ,  and the work goes on for 11 days more ,  at the end of which the whole length dug is 1889 feet. How much work per day do the boys do ?"
"" "793" "boi" "7" "masculine" "(945) If 201 men and 335 boys do in 210 days the same amount of work that 70 men and 96 boys do in 665 days : compare the average daily work done by each man with that done by each boy."
"" "793" "boi" "22" "masculine" "(945) If 201 men and 335 boys do in 210 days the same amount of work that 70 men and 96 boys do in 665 days : compare the average daily work done by each man with that done by each boy."
"" "793" "boi" "41" "masculine" "(945) If 201 men and 335 boys do in 210 days the same amount of work that 70 men and 96 boys do in 665 days : compare the average daily work done by each man with that done by each boy."
"" "828" "boi" "7" "masculine" "(978) If 5 men and 7 boys can reap a field of corn of 125 acres in 15 days ,  in how many days will 10 men and 3 boys reap a field of corn of 75 acres ,  each boy's work being half that of a man ?"
"" "828" "boi" "29" "masculine" "(978) If 5 men and 7 boys can reap a field of corn of 125 acres in 15 days ,  in how many days will 10 men and 3 boys reap a field of corn of 75 acres ,  each boy's work being half that of a man ?"
"" "835" "boi" "3" "masculine" "(986) A boy of 18 can run 100 yd. in 1 of sec ,  and a boy of 13 in 13 sec. How much start in distance must the elder give the younger in order that they may run a dead heat ? "
"" "835" "boi" "16" "masculine" "(986) A boy of 18 can run 100 yd. in 1 of sec ,  and a boy of 13 in 13 sec. How much start in distance must the elder give the younger in order that they may run a dead heat ? "
"" "6" "he" "19" "masculine" "If a carrier receive two guineas for the carriage of 3 cwt. for 150 miles ,  how much ought he to receive for the carriage. of 7 cwt. 3 qr. 14 lb. for 50 miles ?"
"" "11" "he" "27" "masculine" "(10) If a man travel 150 miles in 5 days when the days are 12 hours long ,  in how many days of 10 hours each will he travel 500 miles ?"
"" "26" "he" "27" "masculine" "(4) A tradesman deducts 12s. 10.5d. from a bill of £16. 1s. 10.5d. ,  due 12 months hence ,  on being paid ready money. At what rate does he allow discount ? "
"" "27" "he" "33" "masculine" "(15) A tradesman accepts £19. 6s. 3d. in payment of a debt of £20. 5s. 6.5d. ,  due 12 months hence ,  in consideration of being paid at once. What rate of discount does he allow?"
"" "36" "he" "21" "masculine" "(6) The manufacturer will supply a certain article at 1.5d.  ;  if a tradesman charge 2d. ,  what profit per cent. will he make ?"
"" "37" "he" "13" "masculine" "(7) A tradesman's prices are 20 per cent. above cost price. If he allow a customer 10 per cent. on his bill ,  what profit does he make ?"
"" "37" "he" "26" "masculine" "(7) A tradesman's prices are 20 per cent. above cost price. If he allow a customer 10 per cent. on his bill ,  what profit does he make ?"
"" "38" "he" "13" "masculine" "(8) A tradesman's prices are 25 per cent. above cost price. If he allow a customer 12 per cent. on his bill ,  what profit does he make ?"
"" "38" "he" "26" "masculine" "(8) A tradesman's prices are 25 per cent. above cost price. If he allow a customer 12 per cent. on his bill ,  what profit does he make ?"
"" "39" "he" "20" "masculine" "(9) A man buys goods at £23. 5s. 5d. ,  and sells them at £22. 2s. 1.75d. How much does he lose per cent. ?"
"" "40" "he" "21" "masculine" "(10) A man buys goods at £15. 6s. 3d. ,  and sells them again at £11. 15s. 9.75d. How much does he lose per cent. ?"
"" "41" "he" "28" "masculine" "(11) A man buys goods at the rate of £24 per cwt. ,  and sells 2 tons 14 cwt. 3 qr. 12 lb. for  , £1500. How much has he gained or lost per cent. on his outlay ?"
"" "44" "he" "25" "masculine" "(14) A grocer mixes 12 lb. of tea at 2s. 6.5d. per lb. with 4 lb. at 3.r. 2.25d. At what price must he sell the mixture so as to gain 33.5 per cent. upon his outlay ?"
"" "45" "he" "23" "masculine" "(15) How many pounds of tobacco at 5f. 3d. a pound must a tobacconist mix with 4 lb. at 6s. 6d. ,  that he may sell the mixture at 7s. 10d. per pound ,  and gain 33.5 per cent. upon his outlay ?"
"" "46" "he" "29" "masculine" "(16) A spirit merchant buys 80 gallons of whisky at 18s. per gallon ,  and 180 gallons more at 15s. per gallon ,  and mixes them. At what price must he sell the mixture to gain 8.33 per cent. upon his outlay ?"
"" "48" "he" "18" "masculine" "(18) A grocer buys two sorts of tea at 2s. 9d. and 3s. 1d. per lb. respectively. He mixes them so as to have 3 lb. of the dearer for every 1 lb. of the cheaper sort ,  and sells the mixture at 4s. per lb. What does he gain per cent. ?"
"" "48" "he" "48" "masculine" "(18) A grocer buys two sorts of tea at 2s. 9d. and 3s. 1d. per lb. respectively. He mixes them so as to have 3 lb. of the dearer for every 1 lb. of the cheaper sort ,  and sells the mixture at 4s. per lb. What does he gain per cent. ?"
"" "55" "he" "12" "masculine" "(7) 'A person has £5000 in the 3 per cent. Consols. He sells out when they are at 92 1/2 ,  but on their falling to 88 4/5 he reinvests the money. What is the difference between his present and former incomes ?"
"" "55" "he" "30" "masculine" "(7) 'A person has £5000 in the 3 per cent. Consols. He sells out when they are at 92 1/2 ,  but on their falling to 88 4/5 he reinvests the money. What is the difference between his present and former incomes ?"
"" "59" "he" "37" "masculine" "(11) A person invests £9075 in the 3 per cents. at 90 3/4 ,  and on their rising to 91 transfers it to the 3 1/2 per cents. at 97 1/2. What increase does he make thereby in his annual income ?"
"" "74" "he" "25" "masculine" "(1) A grocer buys tea at 1s. 6d. per lb. ,  and a better sort at is 2s. 3d. per lb. ,  in what proportion must he mix them to get a mixture worth 2s. per lb. ?"
"" "75" "he" "29" "masculine" "(2) A brewer would mix beer at 23s. per barrel with beer worth 38s. per barrel ,  so as to make a mixture worth 30J. per barrel  ;  how must he proceed ?"
"" "76" "he" "27" "masculine" "(3) A merchant has a lot of currants which cost him 3d. a lb. ,  and another lot which cost 4 3/4d. per lb.  ;  how must he mix them so as to make the mixture worth 4d. per lb. ?"
"" "77" "he" "19" "masculine" "(4) A man has whisky worth 16s. a gallon ,  and another lot worth 19s. a gallon  ;  how must he mix these with water to make a mixture of 51 gallons worth 12s. a gallon ?"
"" "93" "he" "18" "masculine" "(4) A tourist just before leaving London has £23. 12s. 6d. ,  and on his arrival at Paris he exchanges what remains for 23 nap. 12 fr. 50 cent.  ;  find what he has already spent ,  the rate of exchange being 25 fr. 20 cent. per pound sterling."
"" "93" "he" "31" "masculine" "(4) A tourist just before leaving London has £23. 12s. 6d. ,  and on his arrival at Paris he exchanges what remains for 23 nap. 12 fr. 50 cent.  ;  find what he has already spent ,  the rate of exchange being 25 fr. 20 cent. per pound sterling."
"" "148" "he" "16" "masculine" "(55) A soldier's pay for a year is  , £9. 17s. 8\d. : how much does he receive per day"
"" "149" "he" "17" "masculine" "(64) A man spends £561. 3s. 9d. in a year of 365 days : how much does he spend in a week ?"
"" "152" "he" "13" "masculine" "(74) A person gave £20 for 48 cwt. of goods  ;  what does he gain by selling them at 10s. a hundredweight ?"
"" "153" "he" "14" "masculine" "(78) A man spends £10. 1is. 9d. in a week : how much does he spend in a year of 365 days ?"
"" "156" "he" "12" "masculine" "(89) If a person spends in four months as much as he earns in three ,  how much can he lay by annually ,  supposing that he earns £250. 10s. every six months ?"
"" "156" "he" "19" "masculine" "(89) If a person spends in four months as much as he earns in three ,  how much can he lay by annually ,  supposing that he earns £250. 10s. every six months ?"
"" "156" "he" "25" "masculine" "(89) If a person spends in four months as much as he earns in three ,  how much can he lay by annually ,  supposing that he earns £250. 10s. every six months ?"
"" "160" "he" "19" "masculine" "(99) A man spends £26. 8s. every 30 days ,  and his annual income is  , £400  ;  how much does he save in a year ?"
"" "161" "he" "7" "masculine" "(102) If A had  £400 more ,  he could pay a debt of £1500 ,  and have £29 over  ;  how much has he ?"
"" "161" "he" "21" "masculine" "(102) If A had  £400 more ,  he could pay a debt of £1500 ,  and have £29 over  ;  how much has he ?"
"" "162" "he" "26" "masculine" "(105) A boy receiving 6d. a week has 3d. stopped every third week : if there are 39 weeks in the school-year how much does he realise in 4 years ?"
"" "192" "he" "21" "masculine" "(174) A man has £3430 stock in the 3J per cents. at 83! : when the stock rises 2 per cent. he transfers his capital to the 4 per cents. at 98 : find the alteration in his income."
"" "194" "he" "28" "masculine" "(178) A man buys goods at the rate of £24 per cwt. and sells 2 tons 14 cwt. 3 qr. 12 lb. for .£1500. How much has he gained or lost per cent. on the outlay ?"
"" "196" "he" "30" "masculine" "(180) Which is the better investment ,  the 3! per cents. at 91 ,  or the 4 per cents. at 103 ?  How much must a man invest in the former that he may have a yearly income of £470 ,  after paying $d. in the pound for income-tax ?"
"" "234" "he" "18" "masculine" "(247) A farmer bought a load of wheat at £12. 15J. per load  ;  at what price must he sell it in order to gain 10 per cent. ?"
"" "261" "he" "11" "masculine" "(299) A father left his eldest son £5000 more than he left his second son  ;  and the second son 1500 guineas more than he left his third  ;  his property was ^17 , 900. What did each son receive ?"
"" "261" "he" "24" "masculine" "(299) A father left his eldest son £5000 more than he left his second son  ;  and the second son 1500 guineas more than he left his third  ;  his property was ^17 , 900. What did each son receive ?"
"" "272" "he" "21" "masculine" "(317) A man owns J5 of a mine ,  and sells -1351 of his share  ;  what fraction of the mine has he left ?"
"" "276" "he" "30" "masculine" "(329) Which is the better investment ,  the 4J per cents. at 95 or the 5 per cents. at 104?How much must a man invest in the former that he may have a yearly income of £613. 12s. after paying 41/. in the pound income-tax ?"
"" "288" "he" "19" "masculine" "(346) A person invests ^375 at simple interest ,  and at the end of. 3 years and 8 months he finds that he possesses £423. 2s. 6d.  ;  at what rate per cent. per annum was his profit ?"
"" "288" "he" "22" "masculine" "(346) A person invests ^375 at simple interest ,  and at the end of. 3 years and 8 months he finds that he possesses £423. 2s. 6d.  ;  at what rate per cent. per annum was his profit ?"
"" "296" "he" "18" "masculine" "(362) A person invests ^10000 in 3 per cents. at 75 ,  and when they rise to 78 he sells out and invests the produce in bank shares at ^208 each ,  which pay a dividend of £8 per share. Show that his income is not altered."
"" "305" "he" "45" "masculine" "(378) A ,  B ,  and C are employed on a piece of work. After 15 days A is discharged ,  one-third of the work being done. B and C continue at the work ,  and after 20 days more B is discharged ,  one-third more of he work being done. C finishes the work in 30 days. In what time would the work have been done ,  if A and B had continued to work ?"
"" "328" "he" "19" "masculine" "(413) A person invests £5000 in Turkish 6 per cent. stock at 80  ;  find the rate of interest he gets for his money. When his stock has risen to 104 he sells out ,  and buys £20 railway shares at £18 ,  which pay dividend at the rate of 4I per cent. Find the alteration in his income."
"" "328" "he" "31" "masculine" "(413) A person invests £5000 in Turkish 6 per cent. stock at 80  ;  find the rate of interest he gets for his money. When his stock has risen to 104 he sells out ,  and buys £20 railway shares at £18 ,  which pay dividend at the rate of 4I per cent. Find the alteration in his income."
"" "334" "he" "27" "masculine" "(421) A butcher bought 160 lb. of mutton for £4 ,  ana sold two-thirds of it at 8d. per lb.  ;  at what price per lb. must he sell the remainder so as to gain £2. 5*. on the whole?"
