"Word_Problem_ID" "stemsearchedterm" "Lemma" "Category" "Word_Problem"
"tempdata" "738" "coloni" "15" NA "(886) Which investment gives the better income ,  Indian 10 per cents. at 215 ,  or Colonial 6 per cents. at 105 ? Find the income produced by investing ^45 15 ,  half in each of these securities."
"tempdata" "215" "east" "10" NA "(214) Two ships start from the same port due east and due north respectively ,  at the rates of 12 and 9 miles an hour ,  how far are they apart at the end of six hours ?"
"tempdata" "215" "north" "13" NA "(214) Two ships start from the same port due east and due north respectively ,  at the rates of 12 and 9 miles an hour ,  how far are they apart at the end of six hours ?"
"tempdata" "768" "south" "31" NA "(918) On July 26th ,  the sun rises at 4 hr. 15 min. a.m. ,  and sets at 7 hr. 54 min. p.m.  ;  what o'clock is it when the sun is due south ?"
"tempdata" "387" "american" "4" NA "(495) If an American dollar be worth 4r. 3fd. ,  and be also worth 5 '42 francs ,  find the number of francs in £l. sterling."
"tempdata" "845" "australian" "3" NA "(996) An Australian squatter bought 160 ewes : if one-hall have one lamb ,  three-eighths two lambs ,  and the rest none on a yearly average ,  and of these* three-fifths are males ,  how many sheep will he have at the end of the third lambing-season ,  if the lambs are allowed to breed when two years old ? "
"" "99" "austrian" "33" NA "(10) The exchange at Paris upon London is at the rate of 25 francs 70 centimes for £1 sterling ,  and the exchange at Vienna upon Paris is at the rate of 40! Austrian florins for 100 francs : find how many Austrian florins should be paid at Vienna for a £50 note.  "
"" "99" "austrian" "41" NA "(10) The exchange at Paris upon London is at the rate of 25 francs 70 centimes for £1 sterling ,  and the exchange at Vienna upon Paris is at the rate of 40! Austrian florins for 100 francs : find how many Austrian florins should be paid at Vienna for a £50 note.  "
"" "190" "austrian" "19" NA "(172) If £1 be worth 25 • 2 francs ,  g\ thalers worth 3 ;  francs ,  and 60 thalers worth 107 Austrian paper florins ,  find how many Austrian paper florins should be received for £10."
"" "190" "austrian" "25" NA "(172) If £1 be worth 25 • 2 francs ,  g\ thalers worth 3 ;  francs ,  and 60 thalers worth 107 Austrian paper florins ,  find how many Austrian paper florins should be received for £10."
